code,name,chapter_key,chapter,sex_restriction
A156,"PLEURESÍA TUBERCULOSA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A157,"TUBERCULOSIS RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A158,"OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLÓGICA E HISTOLÓGICAMENTE",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A159,"TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A160,"TUBERCULOSIS DEL PULMÓN, CON EXAMEN BACTERIOLÓGICO E HISTOLÓGICO NEGATIVOS",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A161,"TUBERCULOSIS DE PULMÓN, SIN EXAMEN BACTERIOLÓGICO E HISTOLÓGICO",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A162,"TUBERCULOSIS DE PULMÓN, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A163,"TUBERCULOSIS DE GANGLIOS LINFÁTICOS INTRATORÁCICOS, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A164,"TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A165,"PLEURESÍA TUBERCULOSA, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A167,"TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A168,"OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCIÓN DE CONFIRMACIÓN",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A169,"TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A170,MENINGITIS TUBERCULOSA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A171,TUBERCULOMA MENÍNGEO,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A178,OTRAS TUBERCULOSIS DEL SISTEMA NERVIOSO,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A179,"TUBERCULOSIS DEL SISTEMA NERVIOSO, NO ESPECIFICADA",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A180,TUBERCULOSIS DE HUESOS Y ARTICULACIONES,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A181,TUBERCULOSIS DEL APARATO GENITOURINARIO,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A182,LINFADENOPATÍA PERIFÉRICA TUBERCULOSA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A183,"TUBERCULOSIS DE LOS INTESTINOS, EL PERITONEO Y LOS GANGLIOS MESENTÉRICOS",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A184,TUBERCULOSIS DE LA PIEL Y EL TEJIDO SUBCUTÁNEO,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A185,TUBERCULOSIS DEL OJO,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A186,TUBERCULOSIS DEL OÍDO,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A187,TUBERCULOSIS DE GLÁNDULAS SUPRARRENALES,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A188,TUBERCULOSIS DE OTROS ÓRGANOS ESPECIFICADOS,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A190,TUBERCULOSIS MILIAR AGUDA DE UN SOLO SITIO ESPECIFICADO,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A191,TUBERCULOSIS MILIAR AGUDA DE SITIOS MÚLTIPLES,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A192,"TUBERCULOSIS MILIAR AGUDA, NO ESPECIFICADA",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A198,OTRAS TUBERCULOSIS MILIARES,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A199,"TUBERCULOSIS MILIAR, SIN OTRA ESPECIFICACIÓN",I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A200,PESTE BUBÓNICA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A201,PESTE CELULOCUTÁNEA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A202,PESTE NEUMÓNICA,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
A203,MENINGITIS POR PESTE,I,CIERTAS ENFERMEDADES INFECCIOSAS Y PARASITARIAS,
